rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_flatfox
2.0,50.0,1250,1101,3008,Murtenstrasse 143B,Bern,0,True,False,False,False,False,False,False,True,True,25.0,625.0,25.0,False,True,False,1250_50.0_2.0_3008_Murtenstrasse143B_Bern,https://flatfox.ch/de/wohnung/murtenstrasse-143b-3008-bern/589789/
3.5,70.0,1090,900,4912,No information,Aarwangen,2019,True,True,False,True,False,False,False,True,False,15.57,311.43,20.0,False,False,False,1090_70.0_3.5_4912_Noinformation_Aarwangen,https://flatfox.ch/de/wohnung/4912-aarwangen/526767/
3.5,73.0,1210,1030,3177,Eigerweg 4,Laupen,2013,True,True,False,False,False,False,False,False,False,16.58,345.71,20.86,False,False,False,1210_73.0_3.5_3177_Eigerweg4_Laupen,https://flatfox.ch/de/wohnung/eigerweg-4-3177-laupen/601734/
4.0,100.0,2790,2540,3005,Aegertenstrasse 57,Bern,2021,True,False,False,False,False,False,False,False,False,27.9,697.5,25.0,False,True,False,2790_100.0_4.0_3005_Aegertenstrasse57_Bern,https://flatfox.ch/de/wohnung/aegertenstrasse-57-3005-bern/528753/
4.0,100.0,2400,2400,3014,No information,Bern,0,True,True,False,True,False,False,False,True,True,24.0,600.0,25.0,False,False,False,2400_100.0_4.0_3014_Noinformation_Bern,https://flatfox.ch/de/wohnung/3014-bern/603628/
3.0,75.0,1250,1050,3072,Obere Zollgasse 60,Ostermundigen,0,True,False,False,False,False,False,False,False,False,16.67,416.67,25.0,False,False,False,1250_75.0_3.0_3072_ObereZollgasse60_Ostermundigen,https://flatfox.ch/de/wohnung/obere-zollgasse-60-3072-ostermundigen/570036/
4.5,146.0,2325,1925,3322,Holzgasse 35,Urtenen-Schönbühl,1985,True,True,False,False,False,False,False,False,True,15.92,516.67,32.44,False,True,False,2325_146.0_4.5_3322_Holzgasse35_Urtenen-Schönbühl,https://flatfox.ch/de/wohnung/holzgasse-35-3322-urtenen-schonbuhl/582206/
3.5,87.5,1670,1400,3063,Im Gerbelacker 2,Ittigen,0,True,True,False,False,False,False,False,False,True,19.09,477.14,25.0,False,True,False,1670_87.5_3.5_3063_ImGerbelacker2_Ittigen,https://flatfox.ch/de/wohnung/im-gerbelacker-2-3063-ittigen/598819/
2.0,51.0,1130,920,3084,Funkstrasse 108,Wabern,1975,True,False,True,False,False,False,False,False,False,22.16,565.0,25.5,False,False,False,1130_51.0_2.0_3084_Funkstrasse108_Wabern,https://flatfox.ch/de/wohnung/funkstrasse-108-3084-wabern/580268/
3.0,80.0,1500,1500,3145,No information,Niederscherli,0,True,True,False,True,False,False,False,True,False,18.75,500.0,26.67,False,False,False,1500_80.0_3.0_3145_Noinformation_Niederscherli,https://flatfox.ch/de/wohnung/3145-niederscherli/603555/
